"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"ENSMUSG00000044703",4.7556521373342,2.01912982785885,119.950570074063,7.83981095315067e-07,0.000390195280951231,"Phf11a"
"ENSMUSG00000029468",2.68163330154335,2.26154672849461,117.295457031214,8.00793384659437e-07,0.000390195280951231,"P2rx7"
"ENSMUSG00000002603",-1.79203947906083,7.9085144803102,113.800259713029,9.1703621708191e-07,0.000428217703534874,"Tgfb1"
"ENSMUSG00000079427",-1.47788971213308,6.32459515905797,110.93625052804,1.03117210916939e-06,0.000457486353521626,"Mthfsl"
"ENSMUSG00000035561",1.93700507926567,2.27340351586531,110.285672755607,1.06135854301439e-06,0.000457486353521626,"Aldh1b1"
"ENSMUSG00000071369",-2.43557309248148,6.56687620180595,109.327974792835,1.10274551967591e-06,0.000457721075518814,"Map3k5"
"ENSMUSG00000019302",-2.20809265996976,6.5642292916435,106.947857451178,1.21994535933903e-06,0.000471445780762499,"Atp6v0a1"
"ENSMUSG00000020573",-1.72898746804743,5.37682196598468,103.297967241783,1.43017832794413e-06,0.000485474117391931,"Pik3cg"
"ENSMUSG00000047067",3.42677315629001,1.60704024076623,102.269017058071,1.53893418224777e-06,0.000485474117391931,"Dusp28"
"ENSMUSG00000031245",-2.26886347738151,5.16642182767546,100.87325814416,1.59410220060915e-06,0.000485474117391931,"Hmgn5"
"ENSMUSG00000021123",-1.73140552668325,7.40038498933187,99.6933017200829,1.68197321452053e-06,0.000485474117391931,"Rdh12"
"ENSMUSG00000030793",2.12382508279178,4.0509392070945,99.5533767676195,1.69313117405391e-06,0.000485474117391931,"Pycard"
"ENSMUSG00000070953",1.93859935552008,3.08455786337274,99.0082162104094,1.73688384176623e-06,0.000485474117391931,"Rabepk"
"ENSMUSG00000038679",-1.42988029662805,6.32123852285732,98.9865745417867,1.7374079387308e-06,0.000485474117391931,"Trps1"
"ENSMUSG00000070476",-1.44881020969089,5.80170119398358,98.9334820568559,1.74166272129621e-06,0.000485474117391931,"Fam217b"
"ENSMUSG00000029722",2.06775853543224,2.68315183739776,98.2614227988894,1.79872600376479e-06,0.000485474117391931,"Agfg2"
"ENSMUSG00000063236",1.92900499231069,3.0230122505515,98.2379024533195,1.79981435460225e-06,0.000485474117391931,"1110038F14Rik"
"ENSMUSG00000025743",2.96728524820153,5.20047021612446,97.593202507225,1.85359796320633e-06,0.000485474117391931,"Sdc3"
"ENSMUSG00000005533",-1.86112145385,7.54898500283394,97.3516748676983,1.87428270705845e-06,0.000485474117391931,"Igf1r"
"ENSMUSG00000039747",-1.47402727949638,7.19670460948403,96.991859062373,1.90612456492798e-06,0.000485474117391931,"Orai2"
"ENSMUSG00000026112",1.16602187604221,4.98585358904787,96.5676423113944,1.94451643731128e-06,0.000485474117391931,"Coa5"
"ENSMUSG00000062210",-1.32790174906809,6.27019711312229,96.4788593257046,1.95265528977829e-06,0.000485474117391931,"Tnfaip8"
"ENSMUSG00000021461",-1.98414342132118,1.92553034268475,95.4909688805439,2.05153942817994e-06,0.000485474117391931,"Fancc"
"ENSMUSG00000117679",-1.6456880218522,5.56957046910258,95.397316546129,2.05530730904936e-06,0.000485474117391931,"Apbb3"
"ENSMUSG00000006219",3.24385416490677,1.16880574194723,96.0207024749751,2.08082055860366e-06,0.000485474117391931,"Fblim1"
"ENSMUSG00000041571",2.23402804217455,3.86484340801951,93.9553413803874,2.20323288882592e-06,0.000485474117391931,"Selenow"
"ENSMUSG00000022377",-2.13049242281901,6.47741974692882,93.8966575967138,2.20867957811171e-06,0.000485474117391931,"Asap1"
"ENSMUSG00000062380",2.23699260139358,1.56186671611416,93.9635183278304,2.21410049454622e-06,0.000485474117391931,"Tubb3"
"ENSMUSG00000052713",-1.38116596847462,5.87962304843098,93.2990713202406,2.27356287941834e-06,0.000485474117391931,"Zfp608"
"ENSMUSG00000069769",1.49395640643469,4.02176326773752,92.7073999612008,2.34047913251345e-06,0.000485474117391931,"Msi2"
"ENSMUSG00000102759",-2.50015270311353,1.65931083149565,92.7238209218709,2.35314704070245e-06,0.000485474117391931,"Gm10463"
"ENSMUSG00000023186",2.34338676205006,3.6099347793422,92.0832256556043,2.41377960502667e-06,0.000485474117391931,"Vwa5a"
"ENSMUSG00000062960",2.31736682511568,2.04190598664157,91.2276901882238,2.52481462474117e-06,0.000485474117391931,"Kdr"
"ENSMUSG00000002602",2.07146498130982,4.42885562897307,90.7286856337383,2.58058139508427e-06,0.000485474117391931,"Axl"
"ENSMUSG00000039782",-1.44541326745485,7.96479463447227,90.6356615426133,2.59213012204038e-06,0.000485474117391931,"Cpeb2"
"ENSMUSG00000040430",-1.21117049966758,4.40838913578788,89.999237387515,2.67606654629329e-06,0.000485474117391931,"Pitpnc1"
"ENSMUSG00000003437",-1.26933882675521,6.19965401481412,89.9780702902248,2.67887680435171e-06,0.000485474117391931,"Paf1"
"ENSMUSG00000020024",-1.39472423292285,6.09540756663009,89.9043201737676,2.68882215361038e-06,0.000485474117391931,"Cep83"
"ENSMUSG00000074417",-1.28495896128211,6.00482438730695,89.6090275569856,2.72908623143497e-06,0.000485474117391931,"Pira11"
"ENSMUSG00000022587",1.74117111642104,8.53039624216318,88.7047455865818,2.85696752869611e-06,0.000495411992411161,"Ly6e"
"ENSMUSG00000022415",2.06354744756351,2.63191452261865,88.6125650463854,2.87382504750208e-06,0.000495411992411161,"Syngr1"
"ENSMUSG00000053063",-2.03060816247615,4.57293396566657,88.2962609356548,2.91756861775111e-06,0.000495411992411161,"Clec12a"
"ENSMUSG00000053040",-1.57352379074729,5.11463424730864,87.8435306591369,2.98553320228011e-06,0.000498041620735407,"Aph1c"
"ENSMUSG00000058298",1.58855922812118,3.77058473393098,87.6112246035842,3.02193541625838e-06,0.000498041620735407,"Mcm9"
"ENSMUSG00000097415",1.92079638618982,4.12031261137986,87.1013487080365,3.10245442474099e-06,0.000503901546928584,"AU020206"
"ENSMUSG00000105096",4.51399517630658,0.843877132123526,85.3277863081278,3.16293127501554e-06,0.000506114463127047,"Gbp10"
"ENSMUSG00000030069",2.10921174960491,4.7376293611898,86.4659508267114,3.20640018577856e-06,0.000506114463127047,"Prok2"
"ENSMUSG00000009292",-1.72676316109111,8.3332169600083,85.325729370494,3.40321118238533e-06,0.000516570022301632,"Trpm2"
"ENSMUSG00000041831",-2.70419702766474,3.162461692651,85.0935203288581,3.44859529164807e-06,0.000516570022301632,"Sytl3"
"ENSMUSG00000041538",-2.25062665157815,3.15841118558661,85.0552186900101,3.45449266942288e-06,0.000516570022301632,"H2-Ob"
"ENSMUSG00000032468",1.37838588418099,4.31166761483462,85.0315021709266,3.45701362296978e-06,0.000516570022301632,"Armc8"
"ENSMUSG00000029430",1.72588072315527,4.63041562719545,84.34353645302,3.58552657058044e-06,0.000519110293145502,"Ran"
"ENSMUSG00000033721",-1.21369247197485,5.63303519935942,84.1115754485968,3.62960505608694e-06,0.000519110293145502,"Vav3"
"ENSMUSG00000036452",-1.27750317243922,6.38806885887189,84.0152388502108,3.64832473725171e-06,0.000519110293145502,"Arhgap26"
"ENSMUSG00000025521",1.85167657073445,3.1093463392557,83.7346891964439,3.70561465616491e-06,0.000519110293145502,"Tmem192"
"ENSMUSG00000061414",-1.22669916786171,3.50233850292685,82.7502334303356,3.9060313035202e-06,0.00053374647952881,"Cracr2a"
"ENSMUSG00000006589",1.52548887304998,4.12895807883827,82.3376001837756,3.99444914857243e-06,0.00053374647952881,"Aprt"
"ENSMUSG00000019978",-1.19952419123322,7.40443760175429,82.306381462068,4.00059822257697e-06,0.00053374647952881,"Epb41l2"
"ENSMUSG00000025383",-2.14833544643273,7.34500656511352,81.671349372102,4.14183420983326e-06,0.000536742254088895,"Il23a"
"ENSMUSG00000039158",-1.90035871171435,8.1542729803171,81.5774620214201,4.16321828488016e-06,0.000536742254088895,"Akna"
"ENSMUSG00000048537",-2.23103005278229,3.29273005344959,81.1605770720601,4.26244633194151e-06,0.000536742254088895,"Phldb1"
"ENSMUSG00000021182",-1.28332329361004,6.66299263089247,81.1489851909604,4.26251990844219e-06,0.000536742254088895,"Ccdc88c"
"ENSMUSG00000035392",1.42578443269482,3.87988883518225,80.5988932730893,4.3949410305654e-06,0.000547267823661627,"Dennd1a"
"ENSMUSG00000019990",-1.31875151159893,4.98504014387043,79.6070367656468,4.64425339953983e-06,0.000568303183058644,"Pde7b"
"ENSMUSG00000032050",1.20498416681977,4.86752742449991,78.9636653850699,4.81558894632443e-06,0.000580304358295246,"Rdx"
"ENSMUSG00000032652",-1.93346018867845,5.39112251614737,78.7162863681147,4.88347843672455e-06,0.000582224923833745,"Crebl2"
"ENSMUSG00000033124",-1.75609070866368,5.60345064117622,78.2986950592725,5.00070153303817e-06,0.000589924864007987,"Atg9a"
"ENSMUSG00000057789",2.05482733946401,5.94124110945658,77.7957757382387,5.14640869583427e-06,0.000596847406471835,"Bak1"
"ENSMUSG00000001416",1.535095718922,3.71459972149582,77.7328390430728,5.16589617451307e-06,0.000596847406471835,"Cct3"
"ENSMUSG00000069170",-1.66063567263682,2.92416647640395,77.0444590834075,5.37758067594647e-06,0.000608752996316486,"Adgrv1"
"ENSMUSG00000034189",1.24730457785803,4.5185859363879,75.6757609594808,5.81964817698595e-06,0.00064575046652952,"Hsdl1"
"ENSMUSG00000033107",-1.78707882039942,4.75942189187512,75.1009136055458,6.02011080086099e-06,0.000661444919071069,"Rnf125"
"ENSMUSG00000033004",1.25029258224883,7.16289161576014,74.2899092745023,6.3171313062058e-06,0.00068253585641326,"Mycbp2"
"ENSMUSG00000045817",1.53115110417015,6.97143512298035,74.245578383026,6.33387428098323e-06,0.00068253585641326,"Zfp36l2"
"ENSMUSG00000091649",4.82114514724401,4.86906985641305,73.9085932965219,6.47115888271744e-06,0.000690688358082042,"Phf11b"
"ENSMUSG00000033499",-1.22444120032112,8.80184948465968,72.8632216801618,6.88371720663581e-06,0.000716886115784764,"Larp4b"
"ENSMUSG00000023927",-2.37250403148684,4.77405457054323,72.7277018375199,6.94168213000919e-06,0.000716886115784764,"Satb1"
"ENSMUSG00000055435",2.51275996144128,3.87454696923419,72.7162769538436,6.94785790915504e-06,0.000716886115784764,"Maf"
"ENSMUSG00000025509",1.16347235300913,7.30936712847184,72.652521902613,6.97248029093774e-06,0.000716886115784764,"Pnpla2"
"ENSMUSG00000038831",-2.09910185028875,4.06765271477753,72.1700149818304,7.1822074871609e-06,0.00072890046921121,"Ralgps1"
"ENSMUSG00000044562",-1.58257029730321,4.80567957375727,72.0830740152374,7.21941216047509e-06,0.00072890046921121,"Rasip1"
"ENSMUSG00000031813",1.8247487807032,3.68470651081402,71.6566949285396,7.41310172797101e-06,0.000741773491655099,"Mvb12a"
"ENSMUSG00000036908",1.63983291160998,7.45071856705502,71.3540533017429,7.55088553352613e-06,0.000748874107736525,"Unc93b1"
"ENSMUSG00000017009",1.61859517995372,6.71430439995752,71.1095264668464,7.66617144512003e-06,0.000748886664314288,"Sdc4"
"ENSMUSG00000029775",-1.38441412221789,5.97464109005042,70.9314156576611,7.75148149018091e-06,0.000748886664314288,"Klhdc10"
"ENSMUSG00000073987",1.11569231765228,4.25766767276487,69.6686953843103,8.39069901652604e-06,0.00080371422118126,"Ggh"
"ENSMUSG00000025491",-1.08027303632759,7.88891878086776,69.3158378087907,8.57969150617842e-06,0.000814852565336793,"Ifitm1"
"ENSMUSG00000031709",1.73789299526546,4.47939045276487,68.9607689620901,8.77694962518558e-06,0.000826582138230712,"Tbc1d9"
"ENSMUSG00000025489",-1.4576299921948,2.76626669822079,68.6771698264444,8.94227795699551e-06,0.000835086677812963,"Ifitm5"
"ENSMUSG00000040247",-2.39959681701508,1.31883741353249,68.6487151825242,9.0236705954567e-06,0.000835086677812963,"Tbc1d10c"
"ENSMUSG00000050002",1.75032245877535,4.34077247634454,68.4118333409737,9.09079813448572e-06,0.000835086677812963,"Idnk"
"ENSMUSG00000043286",-2.663871807446,3.39507367008552,67.9836633123701,9.34949973898419e-06,0.000844487893157317,"Pnpla1"
"ENSMUSG00000061143",-1.74754247740095,2.65039793680679,67.8382142616777,9.43907256430797e-06,0.000844487893157317,"Maml3"
"ENSMUSG00000056531",-1.68243656528917,1.74812313970861,67.8584497674313,9.4399402356615e-06,0.000844487893157317,"Ccdc18"
"ENSMUSG00000005683",-1.30355397966727,6.64446519618708,67.7069258237768,9.51243812196651e-06,0.000844487893157317,"Cs"
"ENSMUSG00000056121",1.51284304772526,3.49378453177714,67.6172132358182,9.56990831007221e-06,0.000844487893157317,"Fez2"
"ENSMUSG00000021986",-1.98537703368867,4.48766103996656,67.1351483830386,9.87434074189224e-06,0.000864544817924894,"Amer2"
"ENSMUSG00000027858",-1.4853903596736,2.00205110787997,66.941367218829,1.00120646324933e-05,0.000869807816560875,"Tspan2"
"ENSMUSG00000047875",1.74515830917223,3.47222462871592,66.5317526445537,1.02744752409151e-05,0.000885738800191809,"Gpr157"
"ENSMUSG00000029560",1.40931401737544,4.5367583945244,65.9057684377404,1.07053929013635e-05,0.000896227943873791,"Snx8"
"ENSMUSG00000031609",1.14398430738698,4.66943417481182,65.8149029969681,1.07701514239297e-05,0.000896227943873791,"Sap30"
"ENSMUSG00000037999",-2.28897955364691,4.87006373431922,65.7799860317203,1.07965506391028e-05,0.000896227943873791,"Arap2"
"ENSMUSG00000043740",1.10065435767763,7.04753415139549,65.4506340600355,1.10346206383196e-05,0.000896227943873791,"Trem6l"
"ENSMUSG00000029338",-1.11660369762184,8.67644890112407,65.2694090295514,1.11691402675965e-05,0.000896227943873791,"Antxr2"
"ENSMUSG00000032122",1.84395699413394,3.11415490628527,65.2182556589441,1.12129191359819e-05,0.000896227943873791,"Slc37a2"
"ENSMUSG00000021866",-1.25164344583343,8.36524078450358,65.2081920788777,1.12150261519443e-05,0.000896227943873791,"Anxa11"
"ENSMUSG00000028525",-1.34458525998104,9.38850091312721,65.1847818151874,1.12326329131589e-05,0.000896227943873791,"Pde4b"
"ENSMUSG00000006585",1.72648995980634,3.64891222490492,65.1289912261297,1.12772972365984e-05,0.000896227943873791,"Cdt1"
"ENSMUSG00000090958",-2.5539759283168,2.24935139120511,65.0965227268782,1.13273247491279e-05,0.000896227943873791,"Lrrc32"
"ENSMUSG00000000791",3.814433248859,1.38181774422559,65.7741020834733,1.13555482415989e-05,0.000896227943873791,"Il12rb1"
"ENSMUSG00000049037",1.94905642870919,3.92914381024027,64.9156830097681,1.14392960381669e-05,0.000896227943873791,"Clec4a1"
"ENSMUSG00000027882",1.83298582397025,7.567210671513,64.6934118992366,1.16099822240508e-05,0.000896227943873791,"Stxbp3"
"ENSMUSG00000034377",-1.25080912240259,4.87501993965422,64.488103780523,1.1772221772138e-05,0.000896227943873791,"Tulp4"
"ENSMUSG00000041926",1.60942832901993,4.68658670392898,64.4711976337825,1.17857566921472e-05,0.000896227943873791,"Rnpep"
"ENSMUSG00000021707",2.57187493957628,2.45039392922489,64.4887837936678,1.1795137171402e-05,0.000896227943873791,"Dhfr"
"ENSMUSG00000062939",-2.63719075163809,3.17232063482275,64.4411079953256,1.18188120522786e-05,0.000896227943873791,"Stat4"
"ENSMUSG00000030126",-1.25007830387472,6.46335447204808,64.4086830990805,1.183561485619e-05,0.000896227943873791,"Tmcc1"
"ENSMUSG00000028337",1.44068149117201,4.23263488831911,64.2177726093001,1.19914570807376e-05,0.000901233466865671,"Coro2a"
"ENSMUSG00000020085",2.00496616891576,3.4373755926872,64.1335455104138,1.20625519791069e-05,0.000901233466865671,"Aifm2"
"ENSMUSG00000000732",-1.51226581242317,7.32281508911948,64.021478124905,1.21509558980668e-05,0.000901826243375061,"Icosl"
"ENSMUSG00000044165",2.66610532053099,3.14452746842572,63.3480828804466,1.27344540915423e-05,0.000933421214426612,"Bcl2l15"
"ENSMUSG00000101517",-1.98226805878873,3.57985433379513,63.3302052941862,1.27432359960089e-05,0.000933421214426612,"Gm33377"
"ENSMUSG00000038642",2.06917793859275,8.8043433011376,63.110687351431,1.29334117164595e-05,0.000941199643547801,"Ctss"
"ENSMUSG00000061455",-1.37973838867373,4.56474543834375,62.9899708441979,1.30417453318169e-05,0.000942960257636591,"Stx17"
"ENSMUSG00000040723",-1.52443246486985,7.58764467679394,62.5586618490496,1.34371552796023e-05,0.000950753391944449,"Rcsd1"
"ENSMUSG00000052336",-1.73993937067955,1.77977866589837,62.5155698392095,1.35054827284097e-05,0.000950753391944449,"Cx3cr1"
"ENSMUSG00000026470",-1.09536177582203,7.15979122990799,62.2271038357058,1.37510511929842e-05,0.000950753391944449,"Stx6"
"ENSMUSG00000022760",1.24729462131269,2.29587418098342,62.215321688925,1.37726081860683e-05,0.000950753391944449,"Thap7"
"ENSMUSG00000078144",-1.26334123472284,4.77683763629584,62.1758482044769,1.3800456897809e-05,0.000950753391944449,"Capns2"
"ENSMUSG00000063281",1.62717641692692,2.28952668884521,62.0796999626557,1.39071277136863e-05,0.000950753391944449,"Zfp35"
"ENSMUSG00000024544",-1.73845039289345,2.0510548724619,61.9508010418244,1.40391131178369e-05,0.000950753391944449,"Ldlrad4"
"ENSMUSG00000005148",-1.14983799384389,4.01379015819547,61.8880846190858,1.40830298341493e-05,0.000950753391944449,"Klf5"
"ENSMUSG00000034160",-1.19660287055428,6.28989028160231,61.81306963008,1.41554989217669e-05,0.000950753391944449,"Ogt"
"ENSMUSG00000004446",1.25419877468459,4.94901826772197,61.8120260711738,1.41566063955568e-05,0.000950753391944449,"Bid"
"ENSMUSG00000030747",-1.21408378145855,7.87274146018855,61.8009331727276,1.41675574600449e-05,0.000950753391944449,"Dgat2"
"ENSMUSG00000060538",1.46567845248448,3.93315820076425,61.047876652631,1.49433269384779e-05,0.00099684443452096,"Tmem219"
"ENSMUSG00000002064",-1.24176324362056,4.00053963518572,60.8408314741933,1.51647890902185e-05,0.00100148255388186,"Sdf2"
"ENSMUSG00000029863",1.35882676764711,3.05710020781636,60.7937568798974,1.52191996901342e-05,0.00100148255388186,"Casp2"
"ENSMUSG00000040276",2.75311947741101,0.165621101595942,61.6174143919379,1.52809419749975e-05,0.00100148255388186,"Pacsin1"
"ENSMUSG00000005566",1.33111115791284,4.3341420808372,60.6108525002214,1.54154441412365e-05,0.00100442373541185,"Trim28"
"ENSMUSG00000039899",1.44863667328263,8.8290199134759,60.3048129640183,1.57549212550737e-05,0.00100894515717492,"Fgl2"
"ENSMUSG00000028692",1.54422748981874,5.67498313152965,60.1871074852379,1.58886910739763e-05,0.00101173045946621,"Akr1a1"
"ENSMUSG00000019189",-1.09846507794918,6.57772606693573,60.0736747888615,1.60188234092983e-05,0.00101425397710738,"Rnf145"
"ENSMUSG00000055013",-1.03894539535461,5.48417152499659,59.7909153324898,1.63489426392017e-05,0.00102934045032322,"Agap1"
"ENSMUSG00000025314",-1.07766004192369,8.68367240711442,59.6105544038042,1.65637288755334e-05,0.00103703748328549,"Ptprj"
"ENSMUSG00000066442",-1.08994469247671,5.91743121192547,59.2862215619838,1.69586515721341e-05,0.00104613301153594,"Mthfs"
"ENSMUSG00000026483",-1.71358065923894,5.95628353460624,59.1183034214355,1.71675602067267e-05,0.00104613301153594,"Niban1"
"ENSMUSG00000028163",-1.23416404082515,9.59587955586589,59.1044796115027,1.7184860068407e-05,0.00104613301153594,"Nfkb1"
"ENSMUSG00000030137",2.54198999167569,6.15869925070041,59.0334010053346,1.72743877400781e-05,0.00104613301153594,"Tuba8"
"ENSMUSG00000060675",2.39787631630933,2.80506939643747,59.0362079326778,1.72887872378109e-05,0.00104613301153594,"Plaat3"
"ENSMUSG00000030533",-1.63313581027234,5.96173653733447,58.8016553717624,1.75699540087021e-05,0.00104983641277222,"Unc45a"
"ENSMUSG00000031862",1.08268887744772,4.1693031301797,58.7713236758117,1.76112470421323e-05,0.00104983641277222,"Atp13a1"
"ENSMUSG00000028037",3.5280842287799,1.85673665147378,58.6025880442579,1.80994643162626e-05,0.00106358338874083,"Ifi44"
"ENSMUSG00000030789",-1.24054089299864,5.59497629047797,58.1899801157461,1.83798498912242e-05,0.00107282800901536,"Itgax"
"ENSMUSG00000031145",-1.45164206095369,3.55546033210579,58.1187927927447,1.84797898224892e-05,0.00107307256238672,"Prickle3"
"ENSMUSG00000059734",1.17103999772592,2.74949700313517,57.9512644214012,1.87161082430672e-05,0.00107564833374387,"Ndufs8"
"ENSMUSG00000030084",1.7401379421352,4.56521036980813,57.56526452528,1.92560747308732e-05,0.0010929208044219,"Plxna1"
"ENSMUSG00000098557",-1.54749425107429,8.34286136435767,57.5267485896843,1.93092102503379e-05,0.0010929208044219,"Kctd12"
"ENSMUSG00000021998",-1.08786730512832,10.5162426791669,57.4479573834408,1.94233340443099e-05,0.00109385580218382,"Lcp1"
"ENSMUSG00000057133",-1.80374895255045,4.34350328331479,57.1873059189937,1.98092303200791e-05,0.00110040477921329,"Chd6"
"ENSMUSG00000075289",-3.25256482634608,2.75608921016054,57.2020383203063,1.9834189827883e-05,0.00110040477921329,"Carns1"
"ENSMUSG00000021494",1.18458550292066,3.57313798451149,56.9580797100388,2.0154247273876e-05,0.00110852820261427,"Ddx41"
"ENSMUSG00000035268",2.27534399369915,5.10856560045268,56.6985657261414,2.05522109189191e-05,0.00111746732252604,"Pkig"
"ENSMUSG00000115816",-1.6290164272357,3.35365128382309,56.6838446635587,2.05789412844471e-05,0.00111746732252604,"Gm34589"
"ENSMUSG00000029804",1.41396096178453,3.05637662648166,56.5975184014052,2.07149120403064e-05,0.00111746732252604,"Herc3"
"ENSMUSG00000009376",-1.09512586193955,4.38211180250326,56.5142170330731,2.08397136082755e-05,0.00111746732252604,"Met"
"ENSMUSG00000026581",1.31872430243817,8.99317385304009,56.4467226310282,2.09465881559439e-05,0.00111784958792221,"Sell"
"ENSMUSG00000020220",-1.18635214937676,7.67572839456866,56.3704655457698,2.10683848826207e-05,0.00111902080274659,"Vps13d"
"ENSMUSG00000038024",1.26825301832756,4.33954918681428,56.1873014300827,2.136640034384e-05,0.00112949645591233,"Dennd4c"
"ENSMUSG00000040613",1.18361245523819,6.79257712837488,56.0905976364471,2.1522738167001e-05,0.00113241937388535,"Apobec1"
"ENSMUSG00000054715",3.76481465151668,0.0624402229308678,54.7084190399221,2.16284884983829e-05,0.00113266575047373,"Zscan22"
"ENSMUSG00000024679",3.09035213205602,4.37185802930261,55.8233799156752,2.19739416641449e-05,0.00114475177625228,"Ms4a6d"
"ENSMUSG00000033082",-1.61855588476474,3.32383548400764,55.7701695992765,2.20635659561427e-05,0.00114475177625228,"Clec1a"
"ENSMUSG00000018040",1.14439520159912,3.25299752137058,55.357141321819,2.27746523001605e-05,0.00117620059137281,"Rrp7a"
"ENSMUSG00000024670",-2.3005978820638,0.773557953418387,55.4145564998696,2.30215900277408e-05,0.00118026953929157,"Cd6"
"ENSMUSG00000048701",1.70646214551473,3.52051119816322,55.1889713899027,2.30747849717111e-05,0.00118026953929157,"Ccdc6"
"ENSMUSG00000037411",2.44455032430015,3.00158040395696,55.1421604476207,2.31693850846922e-05,0.00118026953929157,"Serpine1"
"ENSMUSG00000047767",-1.38665951162078,5.51944378748156,54.9184747377403,2.35583579891323e-05,0.00118833743401838,"Atg16l2"
"ENSMUSG00000035469",1.86452063215803,0.544126358988464,55.0440315579974,2.36458684559738e-05,0.00118833743401838,"Rcbtb1"
"ENSMUSG00000029254",-1.91992620448701,4.10976418142429,54.6756970020473,2.40116354885406e-05,0.00119982943628618,"Stap1"
"ENSMUSG00000017386",-2.38365752014891,4.53324754680688,54.6089631251706,2.4137106265028e-05,0.00119982943628618,"Traf4"
"ENSMUSG00000025076",2.2280429877764,5.06475548126944,54.4096489479957,2.45157364804135e-05,0.00119982943628618,"Casp7"
"ENSMUSG00000032640",-2.33800307119659,4.67831987957036,54.4034179929432,2.45286086388125e-05,0.00119982943628618,"Chsy1"
"ENSMUSG00000021596",-1.06347505206282,5.11224489183754,54.3725430540854,2.45850927221345e-05,0.00119982943628618,"Mctp1"
"ENSMUSG00000026670",-1.30343209285736,4.395641065218,54.3497091270247,2.46293948955964e-05,0.00119982943628618,"Uap1"
"ENSMUSG00000074805",-1.33747464913927,6.2642846864516,54.2905166627101,2.47438951218717e-05,0.00119982943628618,"Il1bos"
"ENSMUSG00000031666",-1.74244808445927,4.69269945944778,54.2578501089279,2.48090596734759e-05,0.00119982943628618,"Rbl2"
"ENSMUSG00000034932",1.41632825121216,2.52459273791775,54.2502754165615,2.48380859479249e-05,0.00119982943628618,"Mrpl54"
"ENSMUSG00000000386",2.81346173360477,5.86570514329327,54.0996077156368,2.51186131113264e-05,0.00120604547866567,"Mx1"
"ENSMUSG00000002108",2.09132795509404,3.33805777567373,54.0315618378819,2.52633505049463e-05,0.00120604547866567,"Nr1h3"
"ENSMUSG00000035901",-1.14223575863502,6.98956026218102,53.9724322036437,2.53717338965126e-05,0.00120604547866567,"Dennd5a"
"ENSMUSG00000034416",1.69243779258707,2.50062803860792,53.9613668433572,2.54129246137335e-05,0.00120604547866567,"Pkd1l2"
