"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002705","positive regulation of leukocyte mediated immunity",112,0.456050564687366,1.87162122254954,4.5602346053107e-05,0.00310665982486792,0.0028081444674808,1406,"tags=32%, list=14%, signal=28%","11846/14129/20296/18439/21355/27218/27007/58185/71890/327957/22628/18950/54698/21939/16783/15042/30925/14991/12010/16193/15040/15039/20343/12122/12479/110557/16160/77777/230073/106759/20909/22030/16173/14972/15015/74131"
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",46,0.58360538545321,2.00531219309371,4.66793743247151e-05,0.00313647028853051,0.00283509047809229,1017,"tags=43%, list=10%, signal=39%","11846/20296/18439/21355/27007/18950/54698/16783/15042/30925/14991/12010/15040/15039/20343/12122/12479/110557/16160/77777"
"GO:0032102","negative regulation of response to external stimulus",246,0.365691185565076,1.65998019985066,5.64578324320564e-05,0.00374223875782752,0.00338265135425066,1556,"tags=29%, list=16%, signal=25%","11846/20296/74748/18787/14824/64685/22259/21355/23960/24110/208177/27007/226691/71740/246730/100038882/15944/16145/20821/56213/80861/16184/20723/14190/434341/100340/16153/56045/231712/13011/16859/20847/17002/21354/217166/74211/114643/56417/27052/19172/94178/20440/14776/17470/72828/11629/16160/16835/17127/54396/213541/547253/246727/63953/17319/19386/224647/66368/20720/57781/21672/56335/15139/15977/11433/14466/436440/11747/23825/18595/15170/213208"
"GO:0002250","adaptive immune response",312,0.336076354371629,1.56586919350276,6.42215368374631e-05,0.00420008850917009,0.00379650685135993,1417,"tags=24%, list=14%, signal=22%","11846/16161/14129/20715/75345/80898/18439/246779/246256/66824/73149/21355/27218/54123/27007/269799/58185/12268/71890/22628/474145/18950/12267/27060/435653/54445/16197/54698/17085/21939/15042/20723/22724/30925/14991/12010/16193/15040/15039/17476/71779/16068/12479/21354/110557/12260/22122/209590/94178/13169/15216/16160/77777/108138/230979/22030/63953/17319/50908/16173/50909/101540/56532/55960/13032/12262/17999/14972/16162/15461/15015/15139/235587/60533/74131/15977"
"GO:0019079","viral genome replication",84,0.488379103193315,1.90985200441782,6.76460341640642e-05,0.00436583944177282,0.00394633096813072,1597,"tags=38%, list=16%, signal=32%","17858/69550/20304/319278/23960/226691/246730/58185/100038882/66141/98999/57444/73158/231655/21849/17002/94088/114643/56417/229900/23983/71586/246728/19106/23962/246727/52513/15977/23825/80287/66101/20587"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",230,0.359764525917737,1.61964777732926,8.28994111626129e-05,0.00528080015263138,0.0047733741601767,1417,"tags=25%, list=14%, signal=22%","11846/16161/14129/18439/246779/246256/21355/27218/54123/58185/12268/71890/22628/18950/12267/27060/435653/54445/16197/17085/21939/15042/20723/22724/30925/14991/12010/16193/15040/15039/16068/12479/110557/12260/22122/209590/15216/16160/77777/108138/22030/50908/16173/50909/56532/55960/13032/12262/14972/16162/15461/15015/15139/235587/60533/74131/15977"
"GO:0002699","positive regulation of immune effector process",196,0.374746207247389,1.65654545686338,8.5370086639974e-05,0.00536846506370606,0.00485261545111431,1170,"tags=24%, list=12%, signal=22%","11846/14129/20296/142980/18439/66824/21355/27218/27007/58185/71890/327957/22628/18950/234311/170743/54698/21939/16783/15042/80861/12362/30925/14991/12010/16193/15040/16153/11541/15039/81897/20343/12122/12479/110557/94088/16160/77777/230073/19260/106759/20909/230979/22030/17319/107607/16173"
"GO:0019883","antigen processing and presentation of endogenous antigen",21,0.737272023352886,2.14646972129132,9.81559772891503e-05,0.00609436795700357,0.00550876717310994,1967,"tags=86%, list=20%, signal=69%","21355/15042/21356/14991/12010/15040/15039/12479/21354/110557/56495/15216/77777/14972/15015/14964/15018/110558"
"GO:0050727","regulation of inflammatory response",268,0.346257050677865,1.5839166286875,0.000107498258100348,0.00659098694977757,0.00595766661998243,1170,"tags=23%, list=12%, signal=21%","20306/14129/142980/74748/66811/20304/18787/55932/14824/12774/66824/64685/22259/13040/14469/239849/24110/14087/226691/70110/58203/15944/15587/16145/170743/69146/16184/12362/100340/16193/16153/11541/81897/20698/13011/85305/16859/12370/68497/229898/217166/74211/27052/14000/19172/11920/13982/14776/17470/11988/71609/16160/16835/64292/17127/13202/54396/72512/16534/63953/56312/16173"
"GO:0031348","negative regulation of defense response",188,0.383540445440501,1.69101254871499,0.000120640695318178,0.00730546432760078,0.00660349069110027,1556,"tags=30%, list=16%, signal=26%","11846/74748/14824/64685/22259/21355/23960/24110/226691/71740/246730/100038882/15944/16145/20821/56213/80861/16184/20723/14190/434341/100340/16153/56045/231712/13011/16859/20847/21354/217166/74211/114643/56417/27052/19172/94178/14776/17470/16160/16835/17127/54396/213541/547253/246727/63953/19386/224647/57781/56335/15977/11433/14466/436440/23825/15170/213208"
"GO:0022011","myelination in peripheral nervous system",19,-0.718175465323641,-2.09443851794926,0.000129411313405341,0.00764774087052043,0.00691287827600881,1702,"tags=53%, list=17%, signal=44%","20481/12833/11651/19153/192119/11652/56217/19058/17988/53321"
"GO:0032292","peripheral nervous system axon ensheathment",19,-0.718175465323641,-2.09443851794926,0.000129411313405341,0.00764774087052043,0.00691287827600881,1702,"tags=53%, list=17%, signal=44%","20481/12833/11651/19153/192119/11652/56217/19058/17988/53321"
"GO:0071216","cellular response to biotic stimulus",225,0.36750395052336,1.65398689850198,0.000134338395657838,0.00784440274644874,0.00709064313923324,1200,"tags=25%, list=12%, signal=22%","626578/100702/20296/434219/18787/18126/12369/246256/55932/12774/66824/22259/26362/14469/27007/12257/327957/22169/15944/17079/108670/16145/15900/11898/12362/66795/15945/12010/16193/16153/17329/12514/81897/212937/12122/20128/236193/16819/12567/229898/17002/217166/110794/209387/54448/17470/279028/16160/19260/106759/54396/70310/17319/16173/50755/230594"
"GO:0032728","positive regulation of interferon-beta production",44,0.579937607470346,1.95802289359632,0.000143407959543142,0.00827548284187192,0.00748030124576737,1107,"tags=41%, list=11%, signal=37%","142980/23960/54123/246730/100038882/170743/81897/71956/114643/71609/71586/246728/230073/19260/106759/384309/72512/246727"
"GO:0001960","negative regulation of cytokine-mediated signaling pathway",57,0.525577572926248,1.89785406735176,0.000179842319621038,0.0102572857876883,0.009271675033584,1107,"tags=37%, list=11%, signal=33%","11846/20304/23960/24110/246730/11746/100038882/434341/16193/56045/20847/73945/114643/56417/17951/30940/13601/17952/213541/547253/246727"
"GO:0032479","regulation of type I interferon production",120,0.427969167449639,1.78079869166061,0.000200828544252282,0.0111939091995164,0.0101182993826628,1514,"tags=30%, list=15%, signal=26%","17472/142980/20612/66824/64685/23960/54123/246730/100038882/15944/327959/16145/170743/15900/80861/81897/72935/71956/114643/56489/229900/71609/71586/246728/230073/19260/106759/384309/54396/72512/246727/224647/52513/56438/338467/23825"
"GO:0032606","type I interferon production",120,0.427969167449639,1.78079869166061,0.000200828544252282,0.0111939091995164,0.0101182993826628,1514,"tags=30%, list=15%, signal=26%","17472/142980/20612/66824/64685/23960/54123/246730/100038882/15944/327959/16145/170743/15900/80861/81897/72935/71956/114643/56489/229900/71609/71586/246728/230073/19260/106759/384309/54396/72512/246727/224647/52513/56438/338467/23825"
"GO:0002456","T cell mediated immunity",99,0.439581567508764,1.7765562612981,0.000208671978394322,0.0115004051013949,0.0103953444470359,1417,"tags=33%, list=14%, signal=29%","11846/18439/246256/21355/27218/58185/22628/18950/54445/16197/15042/20723/14991/12010/16193/15040/15039/12479/110557/22122/15216/16160/77777/22030/16173/56532/55960/13032/14972/15015/60533/74131/15977"
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",49,0.555106359124318,1.9302491910214,0.000223852982873359,0.0121999875665981,0.0110277048404981,1229,"tags=39%, list=12%, signal=34%","26362/54123/58203/15944/16145/13614/21939/12362/434341/94088/12977/56489/384309/54396/72512/547253/22030/80285/11487"
