"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048525","negative regulation of viral process","21/758","82/25730",0.25609756097561,8.69312697084755,12.1563296100313,1.83920703644143e-14,7.39014006134989e-12,5.98128850860773e-12,"Trim28/Mx2/Ccl5/Shfl/Ifitm3/Ch25h/Trim6/Ifi207/Bst2/Oas1g/Trim14/Trim21/Oas1a/Ptx3/Isg20/Ifit1/Znfx1/Isg15/Ltf/Rsad2/Oasl1",21
"GO:0019058","viral life cycle","35/758","249/25730",0.140562248995984,4.77132805628848,10.4184987699303,1.85643041105712e-14,7.39014006134989e-12,5.98128850860773e-12,"Axl/Mvb12a/Trim28/Chmp2a/Siglec1/Gpr15/Siva1/Mx2/Ccl5/Chmp1b2/Shfl/Ifitm3/Slamf1/Ch25h/Nectin4/Hyal2/Ctsb/Trim30c/Trim6/Pcbp1/Ifi207/Bst2/Larp1/Oas1g/Naip5/Oas1a/Isg20/Znfx1/Isg15/Npc1/Ltf/Rsad2/Trim30a/Oasl1/Trim30d",35
"GO:0050792","regulation of viral process","27/758","158/25730",0.170886075949367,5.80065796065596,10.5454800163476,1.5587038063451e-13,5.72763698685427e-11,4.6357239519883e-11,"Axl/Trim28/Mx2/Ccl5/Shfl/Ifitm3/Ch25h/Mdfic/Trim30c/Trim6/Ifi207/Bst2/Larp1/Oas1g/Trim14/Trim21/Oas1a/Ptx3/Isg20/Ifit1/Znfx1/Isg15/Ltf/Rsad2/Trim30a/Oasl1/Trim30d",27
"GO:0071346","cellular response to type II interferon","23/758","119/25730",0.19327731092437,6.5607192745172,10.5927952217012,6.76124001993999e-13,2.30703168394667e-10,1.86722064610824e-10,"Ccl2/Gbp10/Il12rb1/Stxbp3/Ass1/Tlr3/Arg1/Gbp8/Rab7b/Ccl5/Casp1/Gbp6/Edn1/Gbp4/Evl/Irf8/Gbp9/Gbp3/Epsti1/Irgm1/Daxx/Gbp2/Nos2",23
"GO:0042742","defense response to bacterium","44/758","430/25730",0.102325581395349,3.4734000122722,9.0113056172325,8.49341148341897e-13,2.64856383607018e-10,2.1436433282033e-10,"P2rx7/Pycard/Gbp10/Serpine1/Casp7/Grn/Slamf8/Tusc2/Il7r/Gsdmd/Seh1l/Rbck1/H2-M3/Ear6/Klrk1/Adgrb1/Gbp8/Casp1/Stab1/Gbp6/Fcgr1/Rnase6/Lgals9/B2m/Gbp4/Drosha/Plac8/Oas1g/Irf8/Tlr9/Serpinb9/Naip5/Oas1a/Iigp1/Mcoln1/Gbp9/Gbp3/Znfx1/Irgm1/Isg15/Mpeg1/Ltf/Gbp2/Nos2",44
"GO:0048002","antigen processing and presentation of peptide antigen","20/758","88/25730",0.227272727272727,7.71467977932358,10.9928445708275,8.87105325039208e-13,2.64856383607018e-10,2.1436433282033e-10,"Pycard/Unc93b1/Clec4a1/Ctss/Erap1/Tap2/H2-M3/Get3/Marchf8/Clec4a3/Fcgr1/B2m/Tapbpl/Clec4a4/H2-Q6/H2-T22/H2-T23/Tapbp/H2-T24/Mpeg1",20
"GO:0045071","negative regulation of viral genome replication","16/758","53/25730",0.30188679245283,10.2474237068751,11.7410231512794,1.47948034997386e-12,4.15733978342656e-10,3.36478719842353e-10,"Trim28/Mx2/Ccl5/Shfl/Ifitm3/Trim6/Ifi207/Bst2/Oas1g/Oas1a/Isg20/Znfx1/Isg15/Ltf/Rsad2/Oasl1",16
"GO:0001909","leukocyte mediated cytotoxicity","28/758","188/25730",0.148936170212766,5.05557738730141,9.7235210878991,1.84685828547496e-12,4.87042842981615e-10,3.94193308346236e-10,"Ccl2/P2rx7/Bid/Sell/Lamp1/Tusc2/Crtam/Il7r/Fcgr4/Gfus/Tap2/H2-M3/Arg1/Klrk1/Prdx1/Fcgr1/Nectin4/Lgals9/B2m/Plekhm2/H2-Q6/Slamf6/H2-T22/H2-T23/Serpinb9/Cd1d1/Pnp/H2-T24",28
"GO:0002697","regulation of immune effector process","47/758","494/25730",0.0951417004048583,3.22954611004882,8.7174420058318,1.93716014583435e-12,4.87042842981615e-10,3.94193308346236e-10,"Ccl2/P2rx7/Pycard/Axl/Zfp35/Bid/Fgl2/Sell/Grn/Slamf8/Lamp1/Scimp/Mad2l2/Cd40/Crtam/Il7r/Zbtb7b/Tap2/Tlr3/Il27/Tlr7/H2-M3/Arg1/Klrk1/Lgals3/Casp1/Slamf1/Fcgr1/Nectin4/Ywhag/Lgals9/B2m/Trim6/H2-Q6/Slamf6/Bst2/Adora2b/H2-T22/Tlr9/H2-T23/Serpinb9/Cd1d1/Il6/Dhx58/Pnp/H2-T24/Rsad2",47
"GO:0019884","antigen processing and presentation of exogenous antigen","14/758","41/25730",0.341463414634146,11.5908359611301,11.8240964481308,5.55564808371771e-12,1.32696654479597e-09,1.07399449534185e-09,"Unc93b1/Clec4a1/Ctss/Psme1/Tap2/H2-M3/Psme2/Clec4a3/Fcgr1/B2m/Clec4a4/Cd1d1/Tapbp/Mpeg1",14
